loss,tokenizer,initial_loss,final_loss,min_loss,frac_remaining,n_params,seconds,steps
mse,dilated_cnn,2.8975989818573,0.07019829005002975,0.07019829005002975,0.024226364824657044,360544,578.2476539611816,1000
mae,dilated_cnn,1.3574262857437134,0.17401552200317383,0.17401552200317383,0.128195191024928,360544,552.4571270942688,1000
huber,dilated_cnn,0.9344758987426758,0.03263548016548157,0.03263548016548157,0.034923832930728496,360544,543.8131358623505,1000
whitened_mse,dilated_cnn,3878547968.0,2056.005615234375,2056.005615234375,5.300967352208792e-07,360544,558.5015699863434,1000
log_power_spectral,dilated_cnn,3.0901994705200195,0.9683399200439453,0.9598058462142944,0.31335838649955916,360544,556.4792649745941,1000
multires_stft,dilated_cnn,12.94925308227539,1.5053139925003052,1.5042766332626343,0.11624716753437624,360544,627.2320690155029,1000
eegm2,dilated_cnn,23.904956817626953,4.15647029876709,4.15647029876709,0.17387482983036415,360544,964.8234050273895,1000
distdf,dilated_cnn,2.813671350479126,0.06875982880592346,0.06875982880592346,0.024437761288010663,360544,1143.2077000141144,1000
cmin_logcosh,dilated_cnn,0.8416005969047546,0.03378305211663246,0.03276452794671059,0.040141430793751855,360544,911.1153638362885,1000
content_aware_l1,dilated_cnn,1.5833393335342407,0.17928917706012726,0.17928917706012726,0.11323484060736878,360544,570.5731620788574,1000
mse,linear,2.4143502712249756,0.06877226382493973,0.06781917065382004,0.028484791392777715,111584,15.85204005241394,1000
mse,stft_magnitude,12.03683090209961,0.18625092506408691,0.18625092506408691,0.015473418757722913,130048,20.142876863479614,1000
mse,complex_stft,4.133944034576416,0.0664030984044075,0.06634607166051865,0.016062892445812098,164896,21.40670371055603,1000
mse,wavelet_packet,2.4822494983673096,0.06865569204092026,0.06865569204092026,0.027658658843955165,111584,99.37413930892944,1000
mse,welch_psd,3.0579299926757812,0.16124571859836578,0.16025054454803467,0.05273034993756378,96256,21.239853143692017,1000
