loss,tokenizer,initial_loss,final_loss,min_loss,frac_remaining,n_params,seconds,steps
mse,linear,2.345248222351074,0.5655664801597595,0.5655664801597595,0.24115420908102772,111616,6.723438739776611,500
mae,linear,1.2210372686386108,0.5732893347740173,0.564504086971283,0.46951010382607183,111616,6.623066186904907,500
huber,linear,0.8059444427490234,0.24810440838336945,0.24739961326122284,0.30784306612637174,111616,6.833617210388184,500
whitened_mse,linear,987.6287231445312,2.081569194793701,2.000633955001831,0.0021076434352437124,111616,7.881972312927246,500
log_power_spectral,linear,3.0857903957366943,1.1070683002471924,1.093579888343811,0.35876328534067314,111616,8.25339412689209,500
multires_stft,linear,11.04034423828125,1.7223831415176392,1.6413053274154663,0.15600810122799016,111616,26.610317945480347,500
eegm2,linear,21.87352752685547,5.2044358253479,4.982000827789307,0.23793308230499613,111616,9.57152795791626,500
distdf,linear,2.229332208633423,0.524895966053009,0.5190297365188599,0.23544986432271997,111616,8.169105052947998,500
cmin_logcosh,linear,0.7208265662193298,0.22880201041698456,0.22084207832813263,0.31741617351456736,111616,28.63929510116577,500
content_aware_l1,linear,1.4727550745010376,0.6178041696548462,0.6041183471679688,0.4194887394050605,111616,7.263637065887451,500
mse,dilated_cnn,3.0156564712524414,0.6642064452171326,0.6540155410766602,0.2202526884440783,360576,276.0167758464813,500
mse,stft_magnitude,3.2792751789093018,0.94777911901474,0.9090825915336609,0.2890209169118813,130080,9.326559066772461,500
mse,complex_stft,2.528137445449829,0.4196676015853882,0.4074094593524933,0.16599872856624578,164928,9.596213102340698,500
mse,wavelet_packet,2.3501546382904053,0.5167474746704102,0.49187639355659485,0.21987807366000076,111616,47.196343183517456,500
mse,welch_psd,2.3750619888305664,0.8489580750465393,0.8128688931465149,0.35744670203936424,96288,9.27447509765625,500
mse,linear_ar,1.0,0.9480457305908203,0.9104849696159363,0.9480457305908203,200,7.387705087661743,500
mae,linear_ar,0.7941234707832336,0.766883373260498,0.7543560862541199,0.9656979065284784,200,7.4842848777771,500
huber,linear_ar,0.4219984710216522,0.40046426653862,0.3903423249721527,0.9489708945368968,200,7.397386074066162,500
whitened_mse,linear_ar,0.8991420865058899,0.9585350751876831,0.7070352435112,1.0660551758983914,200,8.8766450881958,500
log_power_spectral,linear_ar,22.36620330810547,22.450231552124023,22.09054183959961,1.0037569292767765,200,9.026643991470337,500
multires_stft,linear_ar,3.2020912170410156,3.2079379558563232,3.004425048828125,1.0018259126361524,200,26.104258060455322,500
eegm2,linear_ar,10.417580604553223,6.977566242218018,6.413553237915039,0.6697875934042042,200,9.88676929473877,500
distdf,linear_ar,1.0,,1.0,,200,8.079977035522461,500
cmin_logcosh,linear_ar,0.37253889441490173,0.3542121946811676,0.34440961480140686,0.9508059426586384,200,33.77544689178467,500
content_aware_l1,linear_ar,1.216965675354004,1.1259618997573853,1.0665091276168823,0.9252207540116968,200,8.649538040161133,500
